t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
1827,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1828,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1829,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1830,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1831,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1832,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1833,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1834,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1835,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1836,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1837,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1838,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1839,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1840,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1841,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1842,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1843,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1844,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1845,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1846,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1847,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1848,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1849,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1850,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1851,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1852,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1853,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1854,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1855,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1856,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1857,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1858,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1859,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1860,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1861,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1862,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1863,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1864,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1865,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1866,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1867,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1868,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1869,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1870,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1871,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1872,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1873,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1874,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1875,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1876,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1877,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1878,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1879,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1880,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1881,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1882,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1883,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1884,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1885,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1886,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1887,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1888,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1889,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1890,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1891,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1892,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1893,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1894,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1895,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1896,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1897,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1898,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1899,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1900,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1901,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1902,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1903,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1904,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1905,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1906,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1907,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1908,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1909,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1910,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1911,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1912,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
