t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC,PARi
408,3,12,13,381.5555556,10,0.75,400,3,80,649.476191
409,3,13,13,213.2222222,10,0.75,400,3,80,795.968254
410,3,14,13,235.6666667,10,0.75,400,3,80,635.650793
411,3,15,13,246.8888889,10,0.75,400,3,80,529.4444444
412,3,16,13,145.8888889,10,0.75,400,3,80,379.3492063
413,3,17,13,0,10,0.75,400,3,80,148.4920635
414,3,18,13,0,10,0.75,400,3,80,52.9047619
415,3,19,13,0,10,0.75,400,3,80,0
416,3,20,7,0,10,0.75,400,3,80,0
417,3,21,7,0,10,0.75,400,3,80,0
418,3,22,7,0,10,0.75,400,3,80,0
419,3,23,7,0,10,0.75,400,3,80,0
420,3,24,7,0,10,0.75,400,3,80,0
421,4,1,7,0,10,0.75,400,3,80,0
422,4,2,7,0,10,0.75,400,3,80,0
423,4,3,7,0,10,0.75,400,3,80,0
424,4,4,7,0,10,0.75,400,3,80,0
425,4,5,7,0,10,0.75,400,3,80,0
426,4,6,7,0,10,0.75,400,3,80,3.206349206
427,4,7,13,0,10,0.75,400,3,80,81.76190476
428,4,8,13,0,10,0.75,400,3,80,138.2698413
429,4,9,13,67.33333333,10,0.75,400,3,80,338.6666667
430,4,10,13,157.1111111,10,0.75,400,3,80,474.3333333
431,4,11,13,134.6666667,10,0.75,400,3,80,535.650794
432,4,12,13,213.2222222,10,0.75,400,3,80,649.476191
433,4,13,13,303,10,0.75,400,3,80,795.968254
434,4,14,13,168.3333333,10,0.75,400,3,80,635.650793
435,4,15,13,78.55555556,10,0.75,400,3,80,529.4444444
436,4,16,13,22.44444444,10,0.75,400,3,80,379.3492063
437,4,17,13,0,10,0.75,400,3,80,148.4920635
438,4,18,13,0,10,0.75,400,3,80,52.9047619
439,4,19,13,0,10,0.75,400,3,80,0
440,4,20,7,0,10,0.75,400,3,80,0
441,4,21,7,0,10,0.75,400,3,80,0
442,4,22,7,0,10,0.75,400,3,80,0
443,4,23,7,0,10,0.75,400,3,80,0
444,4,24,7,0,10,0.75,400,3,80,0
445,5,1,7,0,10,0.75,400,3,80,0
446,5,2,7,0,10,0.75,400,3,80,0
447,5,3,7,0,10,0.75,400,3,80,0
448,5,4,7,0,10,0.75,400,3,80,0
449,5,5,7,0,10,0.75,400,3,80,0
450,5,6,7,0,10,0.75,400,3,80,3.206349206
451,5,7,13,0,10,0.75,400,3,80,81.76190476
452,5,8,13,0,10,0.75,400,3,80,138.2698413
453,5,9,13,112.2222222,10,0.75,400,3,80,338.6666667
454,5,10,13,347.8888889,10,0.75,400,3,80,474.3333333
455,5,11,13,392.7777778,10,0.75,400,3,80,535.650794
456,5,12,13,583.5555556,10,0.75,400,3,80,649.476191
457,5,13,13,583.5555556,10,0.75,400,3,80,795.968254
458,5,14,13,505,10,0.75,400,3,80,635.650793
459,5,15,13,314.2222222,10,0.75,400,3,80,529.4444444
460,5,16,13,112.2222222,10,0.75,400,3,80,379.3492063
461,5,17,13,0,10,0.75,400,3,80,148.4920635
462,5,18,13,0,10,0.75,400,3,80,52.9047619
463,5,19,13,0,10,0.75,400,3,80,0
464,5,20,7,0,10,0.75,400,3,80,0
465,5,21,7,0,10,0.75,400,3,80,0
466,5,22,7,0,10,0.75,400,3,80,0
467,5,23,7,0,10,0.75,400,3,80,0
468,5,24,7,0,10,0.75,400,3,80,0
469,6,1,7,0,10,0.75,400,3,80,0
470,6,2,7,0,10,0.75,400,3,80,0
471,6,3,7,0,10,0.75,400,3,80,0
472,6,4,7,0,10,0.75,400,3,80,0
473,6,5,7,0,10,0.75,400,3,80,0
474,6,6,7,0,10,0.75,400,3,80,3.206349206
475,6,7,13,0,10,0.75,400,3,80,81.76190476
476,6,8,13,0,10,0.75,400,3,80,138.2698413
477,6,9,13,145.8888889,10,0.75,400,3,80,338.6666667
