xylem_water_potential,axis,Ksoil,mstruct,SRWC,Tsoil,organ,proteins,Tr,soil_water_potential,total_water_potential,plant,age,amino_acids,t,sucrose,green_area
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029515,1,NA,NA,57,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.96987055,58,374.47134224,NA
NA,MS,NA,0.03751883,NA,NA,roots,NA,NA,NA,NA,1,NA,2.40822504,58,211.72539834,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029314,1,NA,NA,58,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.83694058,59,369.79352343,NA
NA,MS,NA,0.03757785,NA,NA,roots,NA,NA,NA,NA,1,NA,2.47272680,59,211.53665168,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029414,1,NA,NA,59,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.70876632,60,365.43775996,NA
NA,MS,NA,0.03763695,NA,NA,roots,NA,NA,NA,NA,1,NA,2.52722289,60,210.94397016,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029430,1,NA,NA,60,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.58545715,61,361.31041454,NA
NA,MS,NA,0.03769611,NA,NA,roots,NA,NA,NA,NA,1,NA,2.57372399,61,210.03268783,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029517,1,NA,NA,61,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.46721910,62,357.39263998,NA
NA,MS,NA,0.03775531,NA,NA,roots,NA,NA,NA,NA,1,NA,2.61391850,62,208.87461565,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029354,1,NA,NA,62,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.35402979,63,353.44735379,NA
NA,MS,NA,0.03781456,NA,NA,roots,NA,NA,NA,NA,1,NA,2.64919472,63,207.52725185,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029392,1,NA,NA,63,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.24548926,64,349.83653732,NA
NA,MS,NA,0.03787383,NA,NA,roots,NA,NA,NA,NA,1,NA,2.68025515,64,206.02058866,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029454,1,NA,NA,64,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.14137846,65,346.13675027,NA
NA,MS,NA,0.03793313,NA,NA,roots,NA,NA,NA,NA,1,NA,2.70802394,65,204.39432233,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029447,1,NA,NA,65,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.07916215,66,342.50381230,NA
NA,MS,NA,0.03799244,NA,NA,roots,NA,NA,NA,NA,1,NA,2.73129788,66,202.66457154,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029600,1,NA,NA,66,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.25534253,67,341.11793092,NA
NA,MS,NA,0.03805177,NA,NA,roots,NA,NA,NA,NA,1,NA,2.67458251,67,201.17974480,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00030540,1,NA,NA,67,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.34787245,68,344.33419719,NA
NA,MS,NA,0.03811111,NA,NA,roots,NA,NA,NA,NA,1,NA,2.58455226,68,200.03294759,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00076319,1,NA,NA,68,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.54984877,69,355.93283742,NA
NA,MS,NA,0.03817048,NA,NA,roots,NA,NA,NA,NA,1,NA,2.36788440,69,199.80181782,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00100624,1,NA,NA,69,NA,NA
