t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
996,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
997,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
998,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
999,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1000,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1001,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1002,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1003,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1004,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1005,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1006,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1007,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1008,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1009,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1010,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1011,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1012,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1013,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1014,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1015,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1016,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1017,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1018,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1019,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1020,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1021,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1022,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1023,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1024,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1025,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1026,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1027,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1028,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1029,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1030,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1031,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1032,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1033,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1034,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1035,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1036,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1037,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1038,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1039,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1040,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1041,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1042,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1043,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1044,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1045,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1046,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1047,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1048,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1049,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1050,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1051,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1052,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1053,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1054,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1055,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1056,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1057,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1058,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1059,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1060,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1061,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1062,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1063,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1064,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1065,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1066,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1067,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1068,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1069,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1070,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1071,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1072,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1073,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1074,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1075,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1076,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1077,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1078,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1079,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1080,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1081,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1082,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1083,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1084,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1085,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1086,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1087,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1088,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1089,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1090,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1091,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1092,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1093,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1094,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1095,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1096,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1097,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1098,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1099,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1100,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1101,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1102,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1103,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1104,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1105,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1106,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1107,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1108,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1109,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1110,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1111,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1112,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1113,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1114,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1115,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1116,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1117,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1118,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1119,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1120,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1121,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1122,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1123,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1124,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1125,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1126,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1127,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1128,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1129,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1130,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1131,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1132,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1133,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1134,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1135,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1136,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1137,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
1138,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
