t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
15,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392736,NA
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24822174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.92621140,NA,NA,NA,NA
16,1,MS,roots,0.02825520,9.08239403,0.02351330,0.04254603,0.00557841,1.47528438,NA,0.14955097,0.00017966,NA,0.10038112,0.08886864,NA,NA,NA,0.06124023,0.97574628,NA,1.41245615,NA,1.20270254,NA,NA,14.23344032,NA,NA,1.69981728,45.41197014,0.22385047,NA,NA,1.40037739,8.95236056,0.00007911,NA,0.03589318,22.80515453,NA,0.00000000,0.00010365,0.00000000,NA,NA,NA,85.04644944,2.83343157,0.25048999,NA,NA
16,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392822,NA
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11621531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.72326950,NA,NA,NA,NA
17,1,MS,roots,0.02778327,9.21876615,0.02452104,0.04283136,0.00560850,1.47492364,NA,0.16342654,0.00018005,NA,0.10013747,0.08652579,NA,NA,NA,0.06071427,0.95944884,NA,1.40598046,NA,1.18774527,NA,NA,14.31941165,NA,NA,1.72192868,46.09383073,0.21794911,NA,NA,1.45856546,8.98938474,0.00007779,NA,0.03597097,22.92933418,NA,0.00000000,0.00010378,0.00000000,NA,NA,NA,82.27656102,2.78610607,0.24737753,NA,NA
17,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392825,NA
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01673105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.50736149,NA,NA,NA,NA
18,1,MS,roots,0.02728873,9.30011412,0.02680807,0.04530804,0.00592671,1.47485062,NA,0.17703091,0.00018043,NA,0.09987541,0.08424062,NA,NA,NA,0.06016885,0.94237088,NA,1.39932853,NA,1.17148809,NA,NA,14.40319884,NA,NA,1.74310651,46.50057062,0.21219300,NA,NA,1.51506392,9.02558290,0.00007641,NA,0.03604738,23.04534203,NA,0.00000000,0.00010922,0.00000000,NA,NA,NA,79.59213155,2.73651406,0.24428487,NA,NA
18,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392842,NA
