t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14801173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.97737727,NA,NA,NA,NA
15,1,MS,roots,0.01754400,6.59305904,0.02897631,0.04981399,0.00637088,1.63183965,NA,0.09006865,0.00017629,NA,0.11996266,0.12141315,NA,NA,NA,0.07811621,0.60585270,NA,1.72034303,NA,1.52489720,NA,NA,14.12175255,NA,NA,1.02890507,32.96529522,0.30582658,NA,NA,1.52979026,9.06326167,0.00004912,NA,0.03521809,23.66915153,NA,0.00000000,0.00011692,0.00000000,NA,NA,NA,111.98122495,1.75931202,0.31949202,NA,NA
15,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00027218,NA
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02980030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.51526895,NA,NA,NA,NA
16,1,MS,roots,0.01746016,6.68749466,0.02993200,0.05025903,0.00640965,1.62512382,NA,0.09589684,0.00017653,NA,0.11991329,0.11939832,NA,NA,NA,0.07799536,0.60295752,NA,1.71725118,NA,1.52122019,NA,NA,14.18829465,NA,NA,1.03653193,33.43747328,0.30075142,NA,NA,1.57887220,9.11048456,0.00004889,NA,0.03526698,23.85985579,NA,0.00000000,0.00011702,0.00000000,NA,NA,NA,110.10477399,1.75090482,0.31730697,NA,NA
16,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00027782,NA
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91370633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.03867094,NA,NA,NA,NA
17,1,MS,roots,0.01737309,6.75658303,0.03087203,0.05069335,0.00644840,1.61868179,NA,0.10155049,0.00017678,NA,0.11985853,0.11742273,NA,NA,NA,0.07786090,0.59995063,NA,1.71410259,NA,1.51727478,NA,NA,14.25383714,NA,NA,1.04032296,33.78291514,0.29577514,NA,NA,1.62704160,9.15760207,0.00004864,NA,0.03531563,24.04512209,NA,0.00000000,0.00011713,0.00000000,NA,NA,NA,108.25395267,1.74217323,0.31514215,NA,NA
17,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00027807,NA
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83189819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.51665028,NA,NA,NA,NA
18,1,MS,roots,0.01728257,6.79141943,0.03279107,0.05274551,0.00669409,1.61260070,NA,0.10677819,0.00017702,NA,0.11979776,0.11548891,NA,NA,NA,0.07771123,0.59682485,NA,1.71088924,NA,1.51303407,NA,NA,14.31733756,NA,NA,1.04494425,33.95709717,0.29090406,NA,NA,1.67325945,9.20439674,0.00004839,NA,0.03536402,24.22343819,NA,0.00000000,0.00012097,0.00000000,NA,NA,NA,106.42441428,1.73309641,0.31299791,NA,NA
18,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00027831,NA
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.90016093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.99195504,NA,NA,NA,NA
19,1,MS,roots,0.01718830,8.73107213,0.08276754,0.13332057,0.01692182,1.61133042,NA,0.13971558,0.00017726,NA,0.11975416,0.11406844,NA,NA,NA,0.07759591,0.59356934,NA,1.70794226,NA,1.50871789,NA,NA,14.33864409,NA,NA,1.36288158,43.65536066,0.28732606,NA,NA,1.67737768,9.24089403,0.00004813,NA,0.03541215,24.31702620,NA,0.00000000,0.00030459,0.00000000,NA,NA,NA,104.82228177,1.72364287,0.31141852,NA,NA
19,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00028792,NA
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.90540337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.34316350,NA,NA,NA,NA
20,1,MS,roots,0.01710326,11.12323488,0.10838304,0.17639990,0.02242101,1.61268563,NA,0.17881334,0.00017750,NA,0.11973336,0.11301592,NA,NA,NA,0.07730821,0.59063258,NA,1.70533938,NA,1.50464236,NA,NA,14.34168568,NA,NA,1.70755195,55.61617438,0.28467485,NA,NA,1.66331601,9.27181159,0.00004789,NA,0.03546004,24.36431920,NA,0.00000000,0.00040223,0.00000000,NA,NA,NA,103.46797699,1.71511492,0.31005748,NA,NA
20,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00071525,NA
